Libelle_Departement,Libelle_Commune,Nombre_Etablissements,Population_Totale,Ratio_100k
AISNE,02600 VILLERS COTTERETS,20,10773,185.65
AISNE,02310 VILLIERS ST DENIS,3,1091,274.98
AISNE,02300 VIRY NOUREUIL,2,1723,116.08
AISNE,02600 VIVIERES,1,417,239.81
AISNE,02630 WASSIGNY,1,967,103.41
ALLIER,03200 ABREST,2,2991,66.87
ALLIER,03360 AINAY LE CHATEAU,6,1003,598.21
ALLIER,03120 ANDELAROCHE,1,222,450.45
ALLIER,03460 AUBIGNY,1,180,555.56
ALLIER,03000 AVERMES,6,4206,142.65
ALLIER,03230 BEAULON,3,1680,178.57
ALLIER,03330 BELLENAVES,3,1001,299.7
ALLIER,03700 BELLERIVE SUR ALLIER,18,9135,197.04
ALLIER,03210 BESSON,2,767,260.76
ALLIER,03160 BOURBON L ARCHAMBAULT,11,2608,421.78
ALLIER,03110 BROUT VERNET,2,1291,154.92
ALLIER,03440 BUXIERES LES MINES,3,1023,293.26
ALLIER,03350 CERILLY,3,1325,226.42
ALLIER,03140 CHANTELLE,4,1145,349.34
ALLIER,03370 CHAZEMAIS,1,514,194.55
ALLIER,03230 CHEVAGNES,3,652,460.12
ALLIER,03600 COMMENTRY,10,6192,161.5
ALLIER,03430 COSNE D ALLIER,4,2039,196.17
ALLIER,03000 COULANDON,1,686,145.77
ALLIER,03300 CREUZIER LE NEUF,2,1262,158.48
ALLIER,03300 CREUZIER LE VIEUX,1,3345,29.9
ALLIER,03300 CUSSET,22,13825,159.13
ALLIER,03140 DENEUILLE LES CHANTELLE,1,96,1041.67
ALLIER,03630 DESERTINES,7,4415,158.55
ALLIER,03290 DIOU,2,1389,143.99
ALLIER,03410 DOMERAT,7,8847,79.12
ALLIER,03290 DOMPIERRE SUR BESBRE,9,3018,298.21
ALLIER,03170 DOYET,1,1154,86.66
ALLIER,03450 EBREUIL,5,1315,380.23
ALLIER,03330 ECHASSIERES,1,376,265.96
ALLIER,03110 ESCUROLLES,1,831,120.34
ALLIER,03190 ESTIVAREILLES,1,1138,87.87
